X_e_1,X_e_2,X_e_3
0.92363,0.51015,0.96966
0.95150,0.28689,0.60138
0.94346,0.79387,0.42361
0.32369,0.49596,0.05478
0.63069,0.05956,0.38850
0.43463,0.02621,0.33875
0.27526,0.09581,0.07726
0.46512,0.93314,0.58513
0.56760,0.15277,0.24298
0.07475,0.26720,0.94532
0.11830,0.18263,0.42164
0.63173,0.69324,0.98046
0.79209,0.73808,0.07129
0.25713,0.80036,0.02687
0.78361,0.17081,0.11992
0.05291,0.84089,0.91161
0.68582,0.60757,0.43335
0.40930,0.87418,0.17516
0.36889,0.51456,0.53980
0.23709,0.48176,0.71023
0.49618,0.78615,0.00300
0.12375,0.28966,0.48037
0.30746,0.61291,0.40289
0.70158,0.15178,0.69422
0.13036,0.81623,0.69471
0.18211,0.96523,0.55658
0.02254,0.46284,0.07903
0.04843,0.35950,0.80864
0.23168,0.88381,0.92107
0.26329,0.97425,0.44484
0.95974,0.24132,0.75722
0.92275,0.60655,0.42584
0.03406,0.68684,0.11700
0.42568,0.19688,0.28402
0.22301,0.73666,0.03832
0.20731,0.10717,0.07564
0.76722,0.18193,0.12938
0.82873,0.68978,0.61163
0.27388,0.38413,0.20812
0.03394,0.03617,0.78770
0.95739,0.25108,0.37626
0.49210,0.85561,0.49214
0.97119,0.32993,0.58122
0.99536,0.91521,0.68950
0.92826,0.21377,0.28646
0.73111,0.32007,0.33288
0.86913,0.27345,0.07155
0.40793,0.35426,0.52161
0.13539,0.44023,0.83509
0.05109,0.68410,0.31273
0.45535,0.64484,0.41465
0.76086,0.52474,0.33462
0.52384,0.69791,0.34212
0.78114,0.68126,0.06077
0.86843,0.78616,0.21785
0.15454,0.61628,0.14211
0.09085,0.09682,0.07175
0.72739,0.82009,0.57551
0.83545,0.37223,0.80471
0.08056,0.38006,0.31404
0.34762,0.63298,0.55465
0.20627,0.04283,0.51817
0.50337,0.11892,0.81109
0.02877,0.24032,0.89226
0.20437,0.37962,0.54200
0.90688,0.33714,0.20355
0.04624,0.92621,0.77676
0.12702,0.16969,0.98304
0.31695,0.62937,0.66248
0.54145,0.27111,0.43969
0.78815,0.53499,0.22683
0.04653,0.84442,0.52086
0.00262,0.71748,0.03674
0.06196,0.69992,0.73046
0.21627,0.88851,0.29518
0.50423,0.23108,0.06487
0.00770,0.65150,0.98011
0.18044,0.43267,0.09141
0.63231,0.27915,0.04043
0.18485,0.38405,0.35947
0.35503,0.77658,0.96032
0.28227,0.79954,0.51077
0.48936,0.83227,0.01640
0.32793,0.94982,0.37268
0.71278,0.86692,0.37008
0.90156,0.28001,0.37042
0.97064,0.79799,0.78437
0.87521,0.48130,0.87556
0.02204,0.91098,0.31611
0.38198,0.40281,0.10229
0.72309,0.43439,0.12215
0.43740,0.54769,0.57682
0.94963,0.79220,0.92263
0.71470,0.14862,0.72504
0.05862,0.38389,0.91532
0.39405,0.09136,0.89030
0.83448,0.44555,0.00740
0.59634,0.87090,0.31157
0.77876,0.52695,0.58410
0.30916,0.92556,0.12908
0.80537,0.11085,0.98069
0.95056,0.02255,0.58382
0.50232,0.51977,0.15381
0.29550,0.68557,0.26752
0.50707,0.50957,0.07625
0.44227,0.67266,0.01576
0.94586,0.30059,0.05033
0.29765,0.09982,0.75772
0.42608,0.03701,0.09985
0.84867,0.75170,0.50552
0.13963,0.81330,0.30987
0.19044,0.39194,0.08204
0.07849,0.47941,0.87253
0.59554,0.08811,0.48841
0.34146,0.32111,0.69979
0.43227,0.02126,0.89855
0.56294,0.42181,0.90848
0.01715,0.29475,0.58356
0.67722,0.60583,0.11158
0.70395,0.73501,0.61956
0.51678,0.93953,0.78943
0.54296,0.04918,0.83894
0.00786,0.51446,0.83541
0.24173,0.53423,0.11163
0.31012,0.40840,0.40590
0.59697,0.90811,0.63883
0.74922,0.42614,0.94797
0.87638,0.23564,0.62547
0.53143,0.68364,0.94913
0.13489,0.49914,0.60711
0.77244,0.49540,0.05423
0.17957,0.10112,0.95857
0.05595,0.51368,0.29303
0.03099,0.59816,0.35892
0.79289,0.70471,0.49429
0.18610,0.82074,0.59517
0.53625,0.25899,0.63071
0.52343,0.33415,0.56476
0.82524,0.45961,0.86542
0.48799,0.37122,0.06991
0.33508,0.62900,0.67833
0.20562,0.93518,0.56181
0.71808,0.63826,0.36795
0.09844,0.69302,0.80121
0.57214,0.09023,0.22788
0.02034,0.79275,0.01207
0.79088,0.78456,0.90957
0.09876,0.60831,0.95309
0.26035,0.93467,0.52259
0.07344,0.40705,0.47084
0.38585,0.86538,0.84062
0.34296,0.17075,0.68636
0.38213,0.13664,0.86122
0.71964,0.33358,0.63511
0.12849,0.79836,0.15183
0.84918,0.07175,0.81587
0.37869,0.71980,0.24974
0.09909,0.43719,0.60307
0.74342,0.05749,0.48074
0.32371,0.59632,0.75912
0.66576,0.27174,0.38846
0.16023,0.98572,0.99690
0.44691,0.62157,0.16443
0.08153,0.34637,0.09673
0.85578,0.13756,0.34533
0.18872,0.82064,0.67738
0.02068,0.58798,0.66778
0.69665,0.32353,0.08871
0.46814,0.12956,0.99026
0.34803,0.27149,0.55904
0.43080,0.16003,0.65234
0.23819,0.02381,0.96251
0.13227,0.30271,0.00357
0.54125,0.95857,0.45030
0.86741,0.41367,0.15422
0.00451,0.45916,0.95652
0.33129,0.43895,0.32824
0.09815,0.47558,0.93296
0.08858,0.91411,0.83264
0.24388,0.39048,0.17350
0.19100,0.12219,0.90837
0.18974,0.94728,0.75974
0.03735,0.95508,0.35113
0.13565,0.32498,0.52573
0.19919,0.22977,0.65855
0.52224,0.84698,0.77287
0.42932,0.58778,0.59559
0.39715,0.87503,0.58769
0.52398,0.16909,0.22607
0.72704,0.28900,0.14865
0.48523,0.46071,0.46183
0.63838,0.33852,0.09589
0.10149,0.27355,0.92856
0.26224,0.86498,0.65728
0.20699,0.70632,0.49063
0.50544,0.94247,0.86075
0.33535,0.69487,0.67942
0.73339,0.51601,0.70808
0.48320,0.78959,0.39342
0.16502,0.16196,0.94809
0.78583,0.31955,0.07598
0.23523,0.77404,0.99745
0.01763,0.70298,0.58381
0.46150,0.76470,0.42172
0.62954,0.80257,0.41925
0.63513,0.33933,0.74530
0.11737,0.17113,0.96583
0.60994,0.03529,0.80821
0.31088,0.28159,0.23976
0.49470,0.66573,0.33040
0.65912,0.24979,0.34924
0.12047,0.57192,0.46459
0.95129,0.91188,0.79041
0.15137,0.31340,0.39177
0.70328,0.39338,0.22250
0.19894,0.45962,0.69699
0.08196,0.67078,0.22985
0.59676,0.99331,0.76708
0.18128,0.22125,0.86640
0.36686,0.74722,0.71317
0.80268,0.15579,0.77623
0.00103,0.82758,0.52304
0.61480,0.50643,0.62405
0.79582,0.88693,0.85080
0.20486,0.57210,0.34170
0.49099,0.18595,0.44109
0.41214,0.35991,0.21975
0.86347,0.17597,0.66844
0.84353,0.60818,0.24392
0.25739,0.85543,0.68488
0.94910,0.12106,0.97885
0.05075,0.49114,0.35577
0.71076,0.45864,0.99579
0.06760,0.09638,0.44252
0.36444,0.27855,0.54121
0.16560,0.27438,0.60735
0.69206,0.35327,0.13763
0.58197,0.33094,0.91330
0.95199,0.57244,0.82130
0.11985,0.35107,0.76572
0.67467,0.44716,0.02006
0.28736,0.57612,0.52817
0.07986,0.22409,0.35345
0.24376,0.26791,0.11681
0.28179,0.75991,0.16824
0.59434,0.53743,0.08788
0.69714,0.39961,0.57670
0.01897,0.43497,0.45459
0.77688,0.37883,0.88639
0.65765,0.38329,0.19297
0.34922,0.74721,0.54755
0.93070,0.73730,0.58640
0.29422,0.23133,0.32100
0.64015,0.54767,0.49988
0.28617,0.72975,0.34283
0.63458,0.98438,0.07352
0.22295,0.39039,0.94657
0.46380,0.85071,0.65336
0.78702,0.89607,0.78278
0.86183,0.17287,0.95149
0.38326,0.00846,0.38604
0.60848,0.16163,0.46044
0.41554,0.15184,0.37830
0.11696,0.77995,0.50598
0.02143,0.39980,0.39594
0.67714,0.13388,0.21396
0.12525,0.28144,0.39521
0.75815,0.50732,0.74064
0.22961,0.44389,0.69617
0.13904,0.11243,0.38657
0.28530,0.95819,0.41499
0.83241,0.60131,0.51679
0.38326,0.98879,0.11097
0.76346,0.27189,0.11748
0.58959,0.73497,0.19818
0.32462,0.07875,0.95794
0.99959,0.13440,0.14330
0.64913,0.90882,0.44485
0.99138,0.05014,0.62768
0.91837,0.25360,0.61021
0.03877,0.43196,0.85361
0.58744,0.02113,0.21949
0.26096,0.37049,0.59771
0.04140,0.73117,0.75883
0.58246,0.72447,0.68435
0.39555,0.02425,0.64549
0.54487,0.92449,0.54017
0.94377,0.71456,0.37108
0.93198,0.79844,0.14955
0.00527,0.73534,0.19910
0.87466,0.68001,0.56612
0.93926,0.31267,0.10390
0.45092,0.83170,0.52346
0.58234,0.73649,0.39471
0.43376,0.80714,0.67073
0.32933,0.42621,0.38780
0.46124,0.71975,0.30340
0.57132,0.78035,0.44782
0.14592,0.86429,0.11678
0.44404,0.93379,0.91530
0.86871,0.74879,0.90020
0.86232,0.16821,0.42988
0.84138,0.58079,0.63332
0.80682,0.15086,0.97072
0.82547,0.95917,0.08118
0.05856,0.57132,0.58434
0.24987,0.70413,0.89698
0.16277,0.49626,0.71518
0.49539,0.57333,0.17745
0.68118,0.06234,0.18424
0.99650,0.46047,0.47807
0.28404,0.12245,0.02693
0.27885,0.01997,0.49892
0.97411,0.81478,0.28457
0.44065,0.47696,0.61041
0.87611,0.53947,0.15269
0.29270,0.90486,0.67620
0.47902,0.17642,0.16501
0.82233,0.72006,0.69348
0.85825,0.62414,0.78338
0.75182,0.69449,0.72290
0.29920,0.63042,0.45635
0.17038,0.64384,0.01045
0.43017,0.63223,0.55709
0.10774,0.80291,0.25801
0.62976,0.28659,0.75697
0.58725,0.11830,0.00538
0.23019,0.12881,0.61308
0.32013,0.89465,0.36555
0.86859,0.38741,0.59356
0.01374,0.55121,0.89067
0.40838,0.90116,0.22691
0.69496,0.49543,0.83239
0.84791,0.35898,0.83636
0.24971,0.37893,0.79481
0.25846,0.73958,0.69858
0.55134,0.74496,0.84898
0.47098,0.27239,0.09966
0.75551,0.42872,0.41424
0.13825,0.65785,0.21860
0.56426,0.06765,0.31940
0.51026,0.90342,0.67337
0.83067,0.21821,0.37201
0.29894,0.87556,0.77564
0.53367,0.94828,0.41625
0.33040,0.73343,0.63865
0.03343,0.28318,0.05021
0.10893,0.72744,0.21813
0.64916,0.00654,0.68250
0.36130,0.57819,0.94416
0.96544,0.09325,0.23058
0.54550,0.13021,0.34965
0.71401,0.53783,0.06547
0.27088,0.05270,0.87421
0.58361,0.12163,0.35038
0.79001,0.63016,0.00180
0.98735,0.40126,0.35342
0.95055,0.12078,0.91576
0.19196,0.33969,0.72986
0.27399,0.70437,0.12102
0.87122,0.47389,0.36791
0.89838,0.16094,0.47093
0.52381,0.30121,0.99073
0.31312,0.72928,0.41613
0.40707,0.50621,0.04547
0.77768,0.19676,0.29180
0.33413,0.14823,0.93621
0.65251,0.77155,0.66326
0.77497,0.50621,0.17606
0.57147,0.45595,0.37846
0.81276,0.36380,0.20559
0.67568,0.79484,0.75574
0.66152,0.11189,0.06964
0.59133,0.35897,0.90324
0.49780,0.07132,0.31335
0.21928,0.83171,0.65954
0.18994,0.83064,0.01402
0.99913,0.83295,0.52334
0.34720,0.03579,0.13776
0.87124,0.28495,0.25317
0.32426,0.54638,0.82628
0.18572,0.68000,0.13536
0.37875,0.32216,0.72477
0.75739,0.82734,0.05549
0.75531,0.63280,0.50046
0.75857,0.70671,0.56185
0.74771,0.25615,0.61725
0.49669,0.43926,0.51790
0.54067,0.02712,0.99047
0.88390,0.32332,0.45824
0.74969,0.53289,0.99822
0.19643,0.34868,0.31350
0.08346,0.04841,0.84580
0.03340,0.15304,0.95164
0.58504,0.71971,0.64728
0.37652,0.44613,0.97123
0.79419,0.65338,0.15368
0.60055,0.96260,0.59478
0.17039,0.46894,0.47082
0.63208,0.01821,0.26127
0.60649,0.57860,0.52235
0.85930,0.29793,0.64025
0.93691,0.89149,0.32662
0.28264,0.06944,0.60454
0.89939,0.11791,0.74241
0.18643,0.91405,0.48147
0.02248,0.40212,0.05452
0.97447,0.93935,0.49900
0.79866,0.92292,0.53926
0.94616,0.37051,0.54545
0.27808,0.15757,0.85861
0.79286,0.95043,0.28697
0.07388,0.36789,0.99128
0.38111,0.81186,0.12242
0.63298,0.41438,0.36907
0.09881,0.56015,0.99669
0.43885,0.23099,0.64052
0.03781,0.00030,0.80590
0.04979,0.88155,0.61540
0.02408,0.88932,0.02721
0.53383,0.68529,0.29880
0.28869,0.36851,0.85441
0.32705,0.63501,0.15041
0.44800,0.93340,0.38401
0.42348,0.51107,0.65587
0.47127,0.41233,0.40885
0.51909,0.00477,0.48694
0.18741,0.10678,0.54814
0.64803,0.20379,0.65375
0.77503,0.74708,0.94352
0.59019,0.03364,0.06263
0.33650,0.19998,0.45660
0.82553,0.78003,0.32577
0.21789,0.37806,0.65023
0.36688,0.83333,0.44443
0.66550,0.23946,0.90837
0.06952,0.03747,0.94706
0.39916,0.44343,0.39124
0.02215,0.25800,0.36471
0.36191,0.95241,0.74762
0.70753,0.57876,0.34379
0.38330,0.59444,0.32349
0.86915,0.97816,0.13912
0.63732,0.14393,0.80050
0.18370,0.66282,0.46585
0.94185,0.95253,0.43854
0.37456,0.32423,0.98679
0.42609,0.04603,0.97871
0.66921,0.93709,0.63148
0.47852,0.69219,0.17547
0.57994,0.89774,0.26975
0.85737,0.72896,0.49767
0.81257,0.43815,0.68173
0.06379,0.28724,0.67723
0.22109,0.74695,0.88513
0.15834,0.88268,0.29421
0.98683,0.75731,0.09003
0.77960,0.09524,0.53073
0.59084,0.78681,0.04500
0.38370,0.70187,0.81113
0.87050,0.06436,0.58888
0.52254,0.55734,0.47427
0.31457,0.43366,0.28609
0.10350,0.68933,0.82034
0.51145,0.84055,0.34964
0.21345,0.34363,0.24475
0.00887,0.04105,0.54927
0.92322,0.99383,0.00494
0.41661,0.80805,0.58737
0.15455,0.16343,0.18671
0.04006,0.96911,0.29137
0.78615,0.89876,0.94371
0.18368,0.45772,0.56828
0.67831,0.28460,0.80282
0.92777,0.69931,0.22239
0.53991,0.62690,0.18768
0.01866,0.27758,0.00222
0.95786,0.32652,0.69392
0.85249,0.31854,0.00692
0.57098,0.07794,0.10284
0.45558,0.29459,0.74068
0.58762,0.12676,0.92236
0.47890,0.99632,0.92280
0.11249,0.97826,0.37209
0.41292,0.79146,0.52845
0.24824,0.12960,0.83991
0.25510,0.46397,0.64744
0.24407,0.26682,0.01044
0.62050,0.80482,0.23553
0.37001,0.27226,0.40999
0.90859,0.14812,0.24033
0.98860,0.83822,0.78289
0.84519,0.66491,0.59710
0.87682,0.53496,0.08024
0.68235,0.90427,0.71857
0.74322,0.97721,0.23529
0.45046,0.05234,0.25927
0.00337,0.82999,0.76010
0.55664,0.15956,0.50309
0.85836,0.25893,0.18497
0.86048,0.33956,0.20197
0.64901,0.36812,0.20630
0.48118,0.09141,0.39706
0.68135,0.75862,0.79407
0.61184,0.47418,0.19394
0.34546,0.96851,0.21261
0.88887,0.29373,0.18072
0.16059,0.79756,0.49317
0.87405,0.74527,0.83667
0.89930,0.64555,0.74812
0.80391,0.40873,0.64070
0.39311,0.87090,0.69599
0.21940,0.59445,0.78088
0.07666,0.96402,0.71516
0.18168,0.11594,0.73775
0.06089,0.72537,0.88863
0.93957,0.32884,0.09499
0.67835,0.98549,0.78461
0.58891,0.46404,0.91111
0.86487,0.98402,0.59366
0.47672,0.15370,0.96789
0.20112,0.72152,0.80903
0.79158,0.15799,0.54503
0.00178,0.42377,0.68869
0.05935,0.01411,0.61076
0.76437,0.02548,0.52621
0.59566,0.85995,0.03651
0.40434,0.20740,0.83510
0.57763,0.35044,0.23213
0.61806,0.38321,0.13602
0.56568,0.00086,0.65205
0.07093,0.93761,0.07515
0.28683,0.65442,0.41243
0.60128,0.16699,0.28311
0.50079,0.23403,0.39175
0.04117,0.35757,0.19250
0.65479,0.31836,0.74070
0.14180,0.45883,0.32234
0.95780,0.18972,0.62888
0.60693,0.95631,0.09121
0.07700,0.62981,0.01131
0.99911,0.51843,0.25342
0.49007,0.54631,0.87989
0.92803,0.57997,0.69566
0.26749,0.32013,0.61111
0.15903,0.15223,0.22582
0.22657,0.61722,0.02453
0.96997,0.36794,0.79600
0.46684,0.76152,0.69042
0.28619,0.42722,0.23690
0.81201,0.36231,0.87105
0.15012,0.42182,0.33059
0.04269,0.89261,0.80909
0.48387,0.45841,0.11412
0.87040,0.58266,0.56985
0.65043,0.67245,0.52821
0.12640,0.59274,0.65708
0.26946,0.78061,0.32707
0.61430,0.63991,0.44857
0.25158,0.59975,0.50087
0.97167,0.16746,0.46714
0.64551,0.02117,0.43097
0.77054,0.54711,0.46338
0.93074,0.28611,0.75633
0.97262,0.45243,0.96777
0.14057,0.32562,0.14788
0.56255,0.98757,0.32534
0.19243,0.98294,0.35247
0.16900,0.26482,0.65804
0.54268,0.40929,0.92690
0.32155,0.93406,0.47719
0.51085,0.68034,0.83790
0.53780,0.10712,0.95115
0.60146,0.11964,0.65334
0.93381,0.38803,0.27132
0.75392,0.90326,0.42000
0.43819,0.05103,0.47489
0.30928,0.85688,0.32647
0.18386,0.39061,0.71360
0.92485,0.58446,0.45670
0.87272,0.79094,0.01606
0.57355,0.38757,0.44811
0.88833,0.36150,0.64739
0.01170,0.85249,0.72451
0.42796,0.70169,0.31691
0.82884,0.42844,0.58580
0.25562,0.01998,0.90056
0.85489,0.84097,0.72874
0.12646,0.49895,0.44081
0.32804,0.92282,0.55173
0.96142,0.71658,0.42568
0.08754,0.19557,0.71154
0.94855,0.71783,0.91665
0.80258,0.93738,0.40131
0.56143,0.56192,0.00551
0.16239,0.81382,0.48152
0.84966,0.63746,0.68358
0.89961,0.40031,0.00737
0.77696,0.55806,0.77014
0.93539,0.14119,0.36123
0.45551,0.49055,0.80887
0.45047,0.43094,0.18969
0.13686,0.49960,0.60606
0.03028,0.53003,0.43269
0.29415,0.30957,0.29819
0.79331,0.45788,0.25268
0.54724,0.26659,0.69419
0.60595,0.66032,0.55862
0.91201,0.65537,0.52475
0.58440,0.99682,0.54861
0.61263,0.13283,0.33327
0.24671,0.68642,0.50522
0.32685,0.57791,0.08917
0.98379,0.56393,0.43218
0.53350,0.85031,0.61537
0.78941,0.00655,0.66429
0.75901,0.65953,0.86814
0.75633,0.37623,0.34200
0.09680,0.88106,0.37566
0.12758,0.21625,0.83737
0.81491,0.98605,0.52284
0.44614,0.28245,0.60231
0.23756,0.98218,0.57532
0.76195,0.02693,0.49366
0.60680,0.30208,0.93424
0.29246,0.82597,0.27245
0.09053,0.11128,0.78212
0.05763,0.64474,0.44221
0.29981,0.68364,0.05452
0.13172,0.04178,0.31936
0.29262,0.05181,0.80489
0.52704,0.14015,0.62746
0.14010,0.66703,0.41211
0.38884,0.43728,0.47285
0.60468,0.12517,0.04249
0.68783,0.25730,0.36399
0.81960,0.31315,0.14456
0.46621,0.78916,0.98619
0.55975,0.62285,0.77763
0.66462,0.31033,0.65545
0.41757,0.72282,0.38108
0.06187,0.81708,0.27415
0.91392,0.40939,0.58581
0.11017,0.15275,0.00567
0.64076,0.45699,0.57570
0.69734,0.33950,0.47631
0.00740,0.55730,0.20757
0.45085,0.40609,0.88389
0.62404,0.37211,0.66808
0.39335,0.41339,0.74186
0.00211,0.54825,0.39087
0.69505,0.69410,0.15790
0.23209,0.92396,0.54374
0.15173,0.52198,0.05272
0.68518,0.87222,0.15867
0.41564,0.70249,0.41886
0.23789,0.53799,0.55996
0.42612,0.56642,0.22262
0.28752,0.14930,0.13418
0.26904,0.38454,0.18973
0.65475,0.48791,0.89067
0.12969,0.15655,0.24503
0.32240,0.67355,0.12682
0.63024,0.29406,0.96682
0.87662,0.53718,0.16471
0.03551,0.56466,0.55078
0.26024,0.28311,0.92551
0.45755,0.72254,0.83198
0.02698,0.13808,0.19212
0.86181,0.54534,0.74453
0.77139,0.52365,0.78660
0.11894,0.60555,0.42880
0.40415,0.53363,0.47469
0.28441,0.09680,0.34758
0.67377,0.85873,0.79853
0.62769,0.69346,0.65653
0.35151,0.27070,0.20860
0.26360,0.47624,0.76813
0.04930,0.66523,0.83222
0.05358,0.19646,0.37254
0.31833,0.09855,0.85804
0.09522,0.37719,0.30629
0.04977,0.77256,0.35480
0.75797,0.73561,0.62339
0.16746,0.26074,0.96792
0.52564,0.09326,0.87843
0.05955,0.33591,0.76345
0.22502,0.23784,0.98784
0.15919,0.92415,0.99462
0.19056,0.14262,0.36086
0.72974,0.84558,0.06655
0.96414,0.67890,0.80226
0.75586,0.71063,0.78495
0.57775,0.93551,0.97661
0.21852,0.44365,0.87120
0.14584,0.41671,0.81288
0.18469,0.62109,0.05142
0.63411,0.83294,0.59066
0.94714,0.26600,0.69218
0.40812,0.31474,0.39473
0.28016,0.08141,0.96620
0.85062,0.16067,0.23305
0.26751,0.99764,0.97213
0.34686,0.08945,0.41144
0.72267,0.12668,0.16944
0.79193,0.48286,0.58674
0.82131,0.95699,0.10240
0.80061,0.41177,0.45493
0.69263,0.73797,0.17237
0.59800,0.60181,0.56100
0.18902,0.05957,0.92996
0.80537,0.54363,0.42292
0.74275,0.77045,0.42600
0.70286,0.09636,0.11075
0.36993,0.77159,0.47108
0.75756,0.05049,0.61426
0.48677,0.13876,0.21135
0.54790,0.89835,0.34813
0.23477,0.63477,0.21816
0.04545,0.71833,0.84821
0.03863,0.55899,0.16112
0.21804,0.92266,0.34922
0.23938,0.67437,0.08156
0.92655,0.92158,0.49803
0.80869,0.37062,0.29969
0.05039,0.82224,0.14611
0.17007,0.70467,0.15044
0.61948,0.65930,0.03401
0.32386,0.67694,0.96248
0.70253,0.50214,0.64297
0.15011,0.90960,0.79363
0.27804,0.73502,0.24965
0.75161,0.43005,0.40000
0.81593,0.94846,0.04779
0.06284,0.32761,0.34186
0.93597,0.42064,0.72758
0.49040,0.58398,0.65419
0.92236,0.72826,0.70480
0.65086,0.09756,0.52585
0.19887,0.71999,0.45966
0.04570,0.24007,0.14804
0.50336,0.16855,0.34629
0.61583,0.00832,0.88789
0.18447,0.60790,0.05330
0.94804,0.73688,0.74084
0.19673,0.34938,0.31703
0.73783,0.28294,0.63237
0.68919,0.02093,0.07349
0.75863,0.85316,0.46701
0.27091,0.53740,0.77283
0.88233,0.68145,0.24834
0.48075,0.08382,0.07535
0.27698,0.74736,0.70570
0.93344,0.99625,0.23685
0.75863,0.32670,0.95640
0.13144,0.65393,0.88832
0.37091,0.64608,0.33886
0.05627,0.54389,0.42230
0.06945,0.69142,0.19529
0.38373,0.21013,0.38582
0.00070,0.54524,0.42758
0.23075,0.65809,0.22010
0.23929,0.23891,0.07114
0.45363,0.95165,0.85773
0.21242,0.65131,0.80257
0.35773,0.77292,0.14462
0.43023,0.83819,0.43994
0.92339,0.37030,0.34016
0.50868,0.00475,0.13218
0.66922,0.06758,0.52186
0.78581,0.09613,0.23627
0.75075,0.96369,0.17998
0.76067,0.55992,0.12495
0.47777,0.65043,0.88221
0.23289,0.26895,0.92793
0.92955,0.26385,0.69701
0.76307,0.62990,0.06913
0.49743,0.89277,0.27197
0.64459,0.23158,0.96666
0.05330,0.71500,0.69950
0.08225,0.99048,0.79078
0.82382,0.29435,0.28059
0.17475,0.96102,0.04577
0.60829,0.15814,0.53902
0.35375,0.25111,0.70166
0.40662,0.83420,0.35910
0.30324,0.76025,0.98766
0.22628,0.85915,0.72676
0.14924,0.92439,0.44929
0.37651,0.71380,0.34982
0.25696,0.46656,0.31311
0.49627,0.87039,0.30974
0.30242,0.44560,0.49466
0.34896,0.99982,0.18536
0.91052,0.16595,0.53138
0.32100,0.66238,0.01280
0.37929,0.44433,0.65175
0.14333,0.28820,0.37489
0.52588,0.11250,0.87336
0.45560,0.53193,0.98967
0.49247,0.97221,0.99482
0.27852,0.03821,0.53129
0.36308,0.56849,0.72999
0.63600,0.87029,0.01807
0.48282,0.55728,0.33400
0.25662,0.72278,0.08661
0.01340,0.29174,0.57173
0.07928,0.35960,0.18118
0.35029,0.37572,0.56390
0.27426,0.14926,0.55406
0.01709,0.76281,0.67524
0.05438,0.58307,0.40637
0.41312,0.30243,0.96945
0.75019,0.42418,0.11584
0.77742,0.49459,0.74936
0.79449,0.83645,0.56106
0.20983,0.89902,0.42976
0.81984,0.52144,0.84476
0.95698,0.23177,0.87694
0.13515,0.53437,0.11531
0.48304,0.65226,0.03903
0.05455,0.95153,0.86791
0.14786,0.77069,0.12618
0.70096,0.32130,0.01210
0.03346,0.42371,0.22030
0.22912,0.15032,0.00259
0.28435,0.16558,0.07648
0.03985,0.36616,0.04687
0.33630,0.09186,0.06736
0.70499,0.80248,0.92475
0.22953,0.33724,0.49891
0.24063,0.15331,0.82198
0.76087,0.40667,0.44769
0.62854,0.10539,0.54859
0.93337,0.85228,0.31022
0.09066,0.60255,0.53998
0.91330,0.87953,0.58427
0.08847,0.08838,0.41431
0.37926,0.31382,0.76781
0.62139,0.49622,0.58969
0.47648,0.43841,0.73106
0.87347,0.93473,0.19916
0.15496,0.81771,0.91246
0.15608,0.59177,0.93525
0.29998,0.73856,0.23878
0.24641,0.97551,0.65938
0.24494,0.66290,0.21103
0.10265,0.50729,0.99165
0.19817,0.47971,0.82840
0.54182,0.42049,0.77571
0.25500,0.12979,0.38385
0.46856,0.15332,0.98730
0.51366,0.38552,0.09365
0.27153,0.06661,0.80207
0.07361,0.83948,0.77111
0.42005,0.93756,0.62523
